"Business Name","LinkedIn Link","Company Website","Company Size","Industry","Headquarters","Founded","Specialties","Location Match"
"B-Lynk, Inc","https://www.linkedin.com/company/b-lynk-inc/","https://b-lynk.com/","22 associated members","E-Learning Providers","Tampa, Florida","2010","VoIP, Technology, Telecom, Cisco, Cisco Training, Webex Calling, MS Teams Training, Product Adoption, how-to videos, digital content, UC training, CCaas Training, Managed Solutions, SaaS training, eLearning, Sales Enablement, and User Guides","Location matched"
"Trifoia","https://www.linkedin.com/company/trifoia/","https://www.trifoia.com","22 associated members","E-Learning Providers","Eugene, Oregon","1999","Education Technology, Video Production, Research, Instructional Design, Behavior Science, Software Development, Graphic Design, Audio Engineering, and UI / UX","Location matched"
"ADD Coach Academy","https://www.linkedin.com/company/add-adhd-coach-academy/","https://static.licdn.com/aero-v1/sc/h/akt4ae504epesldzj74dzred8","11-50 employees","Business Consulting and Services","Albany, New York","Not found","Not found","Location matched"
"Essential Education","https://www.linkedin.com/company/essential-education-group/","https://essentialeducationgroup.com","2 associated members","Professional Training and Coaching","Birmingham, West Midlands","2018","Special Education, Training and consultancy, Autism, Bespoke Services, Therapeutic services, blogging, On-line training, and In person services","Location matched"
"CIAO Seminars","https://www.linkedin.com/company/ciao-seminars/","http://www.ciaoseminars.com","14 associated members","Website","Gulf Breeze, Florida","1999","Dysphagia Treatment courses, VitalStim Certification, Dementia Treatment courses, Feeding Therapy courses, Myofascial Release courses, Kinesiology Taping for Dysphagia, Swallowing Disorders , CEU Management, Dysphagia, SLP, OT, PT, Continuing Education, Online Education, ASHA, NMES for Dysphagia, Pediatric, Pediatric Feeding, Live Stream CEUs, and CEU Accreditation Support","Location matched"
"Restoration Technical Institute","https://www.linkedin.com/company/restoration-technical-institute/","http://www.rtilearning.com","11 associated members","Non-profit Organization Management","Reading, PA","2012","IICRC Training, Restoration Training, Insurance Training, Water, Fire, Mold Restoration Training, eLearning, Cleaning Training, and Learning Management","Location matched"
"OpenLiteracy","https://www.linkedin.com/company/openliteracy/","http://openliteracy.com","31 associated members","Higher Education","Not found","2013","Literacy, tutor training, phonics, science of reading, tutoring, and summer learning","Location matched"
"Berkeley Coding Academy","https://www.linkedin.com/company/medical-coding-academy/","https://www.medicalcodingacademy.org/","23 associated members","Hospitals and Health Care","Dallas, TX","2014","Medical Coding, 3 Day Certificate & Exam Prep Courses, Training, AAPC Education Provider, and AHIMA Education Provider","Location matched"
"E-Learning Solved","https://www.linkedin.com/company/e-learning-solved/","http://www.elearningsolved.com","2 associated members","E-Learning Providers","Sharon, Massachusetts","2018","E-Learning, Instructional Design, Marketing, Online Learning, Course Design, Consulting, Special Education, Entrepreneur, EdTech, Training Development, Learning Engagement, Individualized Instruction, Startup, Coaching, Guidance, Mobile Learning, Innovative, Funnel Creation, Content Island Creation, and Branding","Location matched"
"Intellezy","https://www.linkedin.com/company/10893609/","https://www.intellezy.com","43 associated members","Not found","Woburn, Massachusetts","2016","eLearning, Custom Video Creation, Quick Reference Cards, Custom eLearning, online education, microsoft, Excel, PowerPoint, Word, OneDrive, Oracle, Azure, BusinessSkills, career change, Office 365, video learning, education, microlearning, change management, training, teams, online video training, microsoft teams, change management consulting, Customized Training, Microsoft Adoption and Change Management Partner, Learning and Development, Instructional Design, Google Workspace Training, Power BI Training, Adobe Training, SAP Training, Blended Learning, and Custom Content, Development and Design","Location matched"
"911 e-Learning Solutions","https://www.linkedin.com/company/911-e-learning-solutions-llc/","http://www.911elearning.com/shop","5 associated members","E-Learning Providers","Piedmont Triad Area, North Carolina","2011","Continuing Education, Distance Learning, and EMS Education","Location matched"
"Learning Designs","https://www.linkedin.com/company/learning-designs/","http://www.learningdesigns.com","24 associated members","E-Learning Providers","Bloomfield Hills, MI - Michigan","1984","Custom Training, E-Learning, Blended Learning, Classroom Training, Task Analysis, Survey Development, Competency Mapping, Gap Analysis, Learning Management Systems, Training Evaluation, Course Development, and Instructional Design","Location matched"
"NetworkChuck","https://www.linkedin.com/company/networkchuck/","https://networkchuck.com","8 associated members","E-Learning Providers","Not found","2014","Not found","Location matched"
"Uxcel","https://www.linkedin.com/company/51711681/","https://www.uxcel.com/","40 associated members","E-Learning Providers","Port St Lucie, Florida","2020","UX Design, Online Education, UX/UI Design, Interactive courses, Skill assessment, Design projects, Design community, Design courses, Learning companion, Visual Design, Interactive Design, UX Writing, UX Research, and UI Design","Location matched"
"Reading Horizons","https://www.linkedin.com/company/3135130/","https://tieronecareers.com/","2 associated members","IT Services and IT Consulting","Wilkes-Barre, PA","1982","IT Training, Medical Billing and Coding Training, Microsoft Office Training, Microsoft Training, CompTIA Training, Cisco Training, VMWare Training, and Graphics Training","Location matched"
"LanguageBird","https://www.linkedin.com/company/languagebird/","http://www.languagebird.com","82 associated members","E-Learning Providers","Los Angeles, CA","2015","Private foreign language Lessons Online, French, Italian, High School Online Courses, Accredited high school courses online, German, Mandarin, Hebrew, Japanese, American Sign Language, online learning, project-based learning, and Spanish","Location matched"
"Veritas Press","https://www.linkedin.com/company/veritas-press-inc/","https://www.VeritasPress.com","101 associated members","Education Administration Programs","Lancaster, PA","1996","Classical Christian Curriculum for Homeschoolers, Classical Christian Curriculum for Schools, Accredited online diploma, Online K-12 Classes, K-12 Education, School Curriculum, Homeschool Curriculum, Online School, and Education","Location matched"
"IvyWise","https://www.linkedin.com/company/ivywise/","http://www.ivywise.com/","60 associated members","Higher Education","New York, NY","1998","Educational Counseling, Academic Tutoring, College Counseling, Standardized Test Tutoring, Pre-K and K-12 Counseling, Graduate School Counseling, Research, and Academic Advising","Location matched"
"InSync Training","https://www.linkedin.com/company/insync-training/about","http://www.insynctraining.com","65 associated members","2024 Learning Services Companies Watch List (2nd Year)","Portsmouth, NH","2000","virtual training, virtual facilitation, virtual production, virtual classroom design, corporate training, digital classroom, Zoom, MS Teams, Webex, Adobe Connect, Hybrid Learning, InQuire Engagement Framework, remote learning, elearning, online learning, remote training, Blended Learning, Virtual Training Solutions, Hybrid Learning, Synchronous Learning, Virtual Classroom, Live Online Learning, and Outsourced Training","Location matched"
"Legendary Marketer","https://www.linkedin.com/company/legendarymarketer/","https://legendarymarketer.com","215 associated members","Technology, Information and Internet","St Petersburg, Florida","2017","Not found","Location matched"
"Big Nerd Ranch","https://www.linkedin.com/company/big-nerd-ranch-the-frontier/","https://thefrontier.bignerdranch.com","51-200 employees","Technology, Information and Internet","Atlanta, Georgia","2018","software development, online learning, screencasts, mobile development, ios development, training, android development, web development, and design","Location matched"
"Acumen Learning","https://www.linkedin.com/company/acumen-learning-solutions-limited/","http://www.acumenlearning.com/","32 associated members","Professional Training and Coaching","Not found","Not found","Not found","Location matched"
"ENTRE Institute","https://www.linkedin.com/company/entre-institute/","https://designyourlife.com/masterclass/","69 associated members","E-Learning Providers","Las Vegas , Nevada","Not found","Entrepreneur Education, Online Business Coaching, -, Entrepreneurship, Professional Development, and Personal Development","Location matched"
"City Test Prep","https://www.linkedin.com/company/city-smarts/","http://citysmarts.net","25 associated members","Education","Brooklyn, New York","2007","Academic tutoring, Admissions Consulting, Test Preparation, Executive Functioning Coaching , Holisitic Tutoring, and Mock Exams","Location matched"
"Method Test Prep","","","","","","","","No results found"
"Achieve Test Prep","","","","","","","","Error: Message: stale element reference: stale element not found"
"EduGrowth Solutions","","","","","","","","No results found"
"Boom Learning","https://www.linkedin.com/company/boomentertainment/","https://www.booment.com","59 associated members","Not found","New York, New York","2015","gaming, sports gaming, and casino gaming","Location matched"
"Creative Coding 4 Kids","","","","","","","","No results found"
"Best In Class Education Center","https://www.linkedin.com/company/best-in-class-education/","http://bestinclasseducation.com/","172 associated members","Education Administration Programs","Seattle, WA","1995","Education, Tutoring, Math, English, Test Preparation, SAT/ACT Prep, and Enrichment Classes","Location matched"
"Cyber Now Labs","https://www.linkedin.com/company/pentesteracademy/","https://linktr.ee/pentesteracademy","85 associated members","E-Learning Providers","Cary, North Carolina","","Comprehensive Hands-On Courses, World Class Trainers, Certification Exams, Cyber Security Training, Penetration Testing, InfoSec Content, Red-Blue Team Training, Security Research, and Bootcamps","Location matched"
"AoPS","https://www.linkedin.com/company/aops-academy/","http://aopsacademy.org","Not found","Not found","San Diego, California","Not found","Not found","Location matched"
"Real Estate U","https://www.linkedin.com/company/realestateu%C2%AE/","https://www.realestateu.com/","17 associated members","E-Learning Providers","Miami, Florida","2013","Not found","Location matched"
"UnboundEd","","","","","","","","Error: Message: stale element reference: stale element not found"
"Kodeco","https://www.linkedin.com/company/kodecodev/","https://www.kodeco.com","156 associated members","E-Learning Providers","Alexandria, Virginia","2010","Mobile Development, iOS, Android, Unity, Mobile Apps, Apps, E-learning, Education, Online courses, Online education, Mobile development courses, Community, Programming tutorials, Learning to code, Game tech, coding bootcamps, corporate training, employee training, coding workshops, and coding community","Location matched"
"Certus","https://www.linkedin.com/company/certusinc/","https://www.certus.com","296 associated members","Website","Orlando, Florida","2003","Not found","Location matched"
"NURSING.com","https://www.linkedin.com/company/nursing-personnel-homecare/","http://www.nursingpersonnelhomecare.com","1,218 associated members","Hospitals and Health Care","Brooklyn, NY","1989","CDPAP, Nursing, HHA, Home Health Aides, Home Care, Health Care, Home Health Care, and Healthcare","Location matched"
"Third Wave","https://www.linkedin.com/company/thirdwaveautomation/","http://thirdwave.ai","48 associated members","Software Development","Union City, CA","2018","forklifts, machine learning, shared autonomy, supply chain, material handling, automation, robotics, warehousing, third party logistics, autonomous reach trucks, autonomous forklifts, continuous improvement, artificial intelligence, warehouse automation, industrial automation, fleet management, and reach trucks","Location matched"
"Learnit","https://www.linkedin.com/company/learnit-ca/","https://www.learn-it.ca","18 associated members","Not found","Toronto, Ontario","2022","education videos, free resources, video responses, and education workshops","Location matched"
"PRACTICE BC","","","","","","","","Error: Message: stale element reference: stale element not found"
"ibl.ai","https://www.linkedin.com/company/iblai/about","https://ibl.ai","470 associated members","Education","New York, New York","2004","Generative AI, Open edX, LLM, and EdTech","Location matched"
"LegalNurse.com","https://www.linkedin.com/company/legalnurse/","http://www.legalnurse.com","24 associated members","Higher Education","Houston, TX","1982","Not found","Location matched"
"Warrior Trading","https://www.linkedin.com/company/warriortradingden/","http://www.pinnacleingenuity.com","0-1 employees","Financial Services","Not found","Not found","Not found","Location matched"
"MindPlay","https://www.linkedin.com/company/mindplayeducation/","http://www.mindplay.com","74 associated members","E-Learning Providers","Tucson, Arizona","1981","reading instruction, reading assessment, reading software, fluency training, math software, math assessement, math instruction, science of reading, educational software, dyslexia, ESL, Education, e-learning, Literacy, Personalized learning, science of reading, orton-gillingham, and standards-aligned","Location matched"
"LightSpeed VT","https://www.linkedin.com/company/lightspeed-vt-course-creators/","https://www.closerschool.com/cs#a_aid=Savage2613&a_bid=69227d48","4 associated members","E-learning","Las Vegas, Nevada","1994","e learning, courses, marketing, info products, course creation, brad lea, LightSpeed VT, Increase Sales, Increase Productivity, digital marketing, Training, Sales Training, Influencer Course, Influencer Marketing, LSVT , Grant Cardone Sales, Daymond John Business, Ecommerce Courses, Sales Courses, Fitness Courses, Diet Course, Tony Robbins Course, Education Course, Marketing Courses, and Crypto Course","Location matched"
"Red Comet","https://www.linkedin.com/company/red-comet/","http://www.redcomet.org","25 associated members","Education Management","Prosser, WA","1999","Online high school courses, Credit Retrieval, Advanced Placement courses, Credit Enhancement, and High School","Location matched"
"BJJ Fanatics","","","","","","","","Error: Message: stale element reference: stale element not found"
"Allied Schools","https://www.linkedin.com/company/punjab-group-of-colleges-&-allied-schools/","http://www.pgc.edu.pk","1,310 associated members","Education Administration Programs","Not found","Not found","Not found","Location matched"
"ProTrainings","https://www.linkedin.com/company/protrainings-europe-limited/","https://static.licdn.com/aero-v1/sc/h/akt4ae504epesldzj74dzred8","Not found","Wellness and Fitness Services","Not found","Not found","Not found","Location matched"
"TOPYX","https://www.linkedin.com/company/topyx%C2%AE-learning-management-system/","https://static.licdn.com/aero-v1/sc/h/akt4ae504epesldzj74dzred8","11-50 employees","Software Development","Bonita Springs, Florida","1995","Not found","Location matched"
"Forio","https://www.linkedin.com/company/forio/","http://forio.com","21 associated members","Technology, Information and Internet","San Francisco, CA","2001","simulations, visualization, games, predictive analytics, and training simulations","Location matched"
"Center for Athletic Performance Enhancement","","","","","","","","Error: Message: stale element reference: stale element not found"
"The Violet Group","https://www.linkedin.com/company/violetgroup/","https://violet-group.com/","11-50 employees","Events Services","Bonn, North Rhine-Westphalia","2015","Not found","Location matched"
"TechChange","","","","","","","","Error: Message: stale element reference: stale element not found"
"AXIOM Learning Solutions","https://www.linkedin.com/company/axiom-learning-solutions-llc/","https://axiomlearningsolutions.com","26 associated members","Website","Westborough, Massachusetts","2002","Outsourced Learning Solutions, Training, Development, Design, CRM, Proprietary Systems, Train The Trainer, ERP, SAP, Salesforce.com, Instructional Design, Microsoft, Virtual Instructor Led Training, e-learning, Social Learning, Mobile Learning, LMS, and Contigent Workforce","Location matched"
"PM-Prolearn","https://www.linkedin.com/company/pmprolearn/about","https://www.pm-prolearn.com","25 associated members","Not found","Frederick, Maryland","","Agile, Project Management, Project Management Professional (PMP), Agile Certified Practitioner (PMI-ACP), Certified Associate in Project Management (CAPM), Lean Six Sigma Green Belt (LSSGB), Certified Change Management Professional (CCMP), Corporate Training, Professional Development, Employee Training, Upskilling, and Reskilling","Location matched"
"Unboxed Training & Technology","https://www.linkedin.com/company/unboxed-technology-llc/","https://unboxedtechnology.com","58 associated members","Website","Richmond, Virginia","2009","e-Learning, LMS, Sales training, Animation, Training design, mobile learning, Learning Management System, video production, Sales Enablement, guided selling, Custom Training, Employee Onboarding Training, SaaS, Custom Software, Employee Training, Coaching, sales readiness, leadership training, LXP, and Learning Experience","Location matched"
"Paralegal Boot Camp","https://www.linkedin.com/company/paralegal-bootcamp/","https://paralegal-bootcamp.com","3 associated members","Professional Training and Coaching","Melbourne, Florida","2010","coaching, training, e-learning, litigation, paralegal training, paralegal profitability, billable hours, eDiscovery, trial prep, and paralegals","Location matched"
"CATCH Global Foundation","","","","","","","","Error: Message: stale element reference: stale element not found"
"Feynman School","https://www.linkedin.com/company/feynman-school/","http://Feynmanschool.org","10 associated members","Primary and Secondary Education","Potomac, Maryland","2009","Not found","Location matched"
"Lake Forrest Preparatory School","https://www.linkedin.com/company/lake-forrest-preparatory-school-incorporated/","http://lakeforrestprep.com","8 associated members","Not found","MAITLAND, Florida","Not found","Not found","Location matched"
"Kids in the Game","https://www.linkedin.com/company/kingkids/","https://kidsinthegame.com/the-foundation/","4 associated members","Health, Wellness & Fitness","New York, New York","2017","Not found","Location matched"
"San Francisco Gymnastics","https://www.linkedin.com/company/san-francisco-gymnastics/","http://www.sanfranciscogymnastics.com","9 associated members","Accounting","San Francisco, California","Not found","Not found","Location matched"
"Fountain Valley Montessori","https://www.linkedin.com/company/american-montessori-society/","http://www.amshq.org","166 associated members","Education Administration Programs","Not found","1960","Education and Montessori Method","Location matched"
"Crouching Tigers","https://www.linkedin.com/company/crouching-tigers-international-inc/","https://static.licdn.com/aero-v1/sc/h/akt4ae504epesldzj74dzred8","Not found","Civic and Social Organizations","Fishers, Indiana","Not found","Not found","Location matched"
"Dignity of children","https://www.linkedin.com/company/dignityofchildreninc/","http://www.dignityofchildren.com","10 associated members","E-Learning Providers","New York, NY","2008","Professional Development for Direct service staff, Leadership & Management Training for After School Directors, Project based Learning Design, Family Matter NY: Empowering Families as One, Social/Emotional Learning, Stewards of Children, PBL, Project-Based Learning, online learning, 21st century skills, youth development, education, k12, emotional intelligence training, curriculum, social entrepreneurship, and Emotional Intelligence","Location matched"
"Excelldance","","","","","","","","No results found"
"Fairlawn Swim & Tennis Court","https://www.linkedin.com/company/fairlawn-swim-&-tennis-court/","https://static.licdn.com/aero-v1/sc/h/akt4ae504epesldzj74dzred8","2-10 employees","Not found","Akron, Ohio","Not found","Not found","Location matched"
"Hawk Meadow Montessori","https://www.linkedin.com/company/hawk-meadow-montessori-school-foundation-inc/","https://static.licdn.com/aero-v1/sc/h/akt4ae504epesldzj74dzred8","Not found","Non-profit Organizations","Lagrangeville, New York","Not found","Not found","Location matched"
"Stars Gymnastics Training Center","https://www.linkedin.com/company/stars-gymnastics-training-center-booster-club/","https://static.licdn.com/aero-v1/sc/h/akt4ae504epesldzj74dzred8","Not found","Spectator Sports","Houston, Texas","1997","Not found","Location matched"
"Quantum Academy","https://www.linkedin.com/company/quantum-physics-for-kids/","http://www.quantumphysicsforkids.com","6 associated members","Primary and Secondary Education","Berkeley, California","Not found","STEM education, physics education, science education, engineering education, invention education, K-12, and STEM learning","Location matched"
"Railyard Fitness","https://www.linkedin.com/company/nutrifitness-kids-&-teens/","http://nutritiesifitness.ro/","2-10 employees","Health, Wellness & Fitness","Constanta, Constanta","2016","Sport Copii, Consiliere Nutritionala, Cursuri Fitness, Diete Personalizate, Seminarii Nutritie, Petreceri Copii, and Scoala de Vara","Location matched"
"Seattle Learning Center","https://www.linkedin.com/company/seattle-elc/","https://www.seattle-elc.com/","11 associated members","Primary and Secondary Education","Seattle, Washington","2017","Preschool, Early Childhood Education/ECE, Licensed Preschool, Childcare, and Comprehensive Curriculum","Location matched"
"Stumpf's Gymnastics Center","","","","","","","","No results found"
"Maven Analytics","https://www.linkedin.com/company/maven-wave-partners/","http://www.mavenwave.com","370 associated members","IT Services and IT Consulting","Chicago, Illinois","Not found","Management Consulting, Cloud Solutions, Mobile & Apps, Data Analytics, User Experience, Design, and Agile Delivery","Location matched"
"Mike Holt Enterprises","https://www.linkedin.com/company/mike-holt-enterprises-inc/","https://linktr.ee/MikeHoltEnterprises","27 associated members","Not found","Not found","1975","Electrical Continuing Education, Electrical Apprenticeship Resources, Electrical Exam Preparation, and NEC Training","Location matched"
"Transformation Academy","https://www.linkedin.com/company/transformation-academy-nz/","https://www.transformationacademy.org.nz/","15 associated members","Education","Auckland, Northcote","Not found","Not found","Location matched"
"Dion Training","https://www.linkedin.com/company/diontraining/","https://www.diontraining.com","28 associated members","E-Learning Providers","Orlando, Florida","Not found","cybersecurity, project management, IT service management, cloud, cybersecurity training, discounted exam vouchers, CompTIA, and ITIL 4 Foundation","Location matched"
"Ninja Tropic E-learning","","","","","","","","Error: Message: stale element reference: stale element not found"
"ABA Technologies","https://www.linkedin.com/company/aba-technologies-inc./","http://abatechnologies.com/","95 associated members","E-Learning Providers","Melbourne, Florida","1997","Professional Development, Instructional Design, Continuing Education, Exam Prep, Graduate Training, BCaBA Certification Sequence, BCBA Certification Sequence, RBT Online Courses, CE Credits, OBM Certificate Program, OBM Masters Program, ABA Online Courses, Professional Training & Coaching, Applied Behavior Analysis, Organizational Behavior Management, Online Professional Education, Performance Improvement, OBM Applied, Curriculum Development, and Instruction Technology","Location matched"
"WIldsparq","https://www.linkedin.com/company/wildsparq/","https://www.wildsparq.com/","22 associated members","Professional Training and Coaching","Birmingham, Alabama","2016","Leadership Development, Employee Engagement, Succession Planning, and Teambuilding","Location matched"
"OnLine Training Institute","https://www.linkedin.com/company/shanaya-training-institute-pvt-ltd/","http://shanayatraining.com","6 associated members","Website","Chapra, Bihar","2021","Not found","Location matched"
"Gemba Academy","https://www.linkedin.com/company/gemba-academy-llc/","http://www.gembaacademy.com","31 associated members","E-Learning Providers","Keller, TX","2008","lean manufacturing, six sigma, lean enterprise, and training","Location matched"
"Re:Coded","https://www.linkedin.com/company/re-coded/","http://www.re-coded.com","38 associated members","Education","Not found","2017","technology, design, edtech, bootcamp, 21st century skills, coding, Learning how to code, AI, career development, digital skills, tech for good, social impact, future of work, skill building, tech inclusion, career tech, tech education, coding bootcamp, design bootcamp, and empower youth","Location matched"
"Investment Banking Institute","https://www.linkedin.com/company/investment-banking-institute/","http://www.ibanking.com","55 associated members","Professional Training and Coaching","Newtown, Pennsylvania","2003","Investment banking, corporate finance, private equity, education, training, Finance, financial education, financial training, and professional development","Location matched"
"Focus Personal Training Institute","https://www.linkedin.com/company/fpti/","https://www.fpti.edu","34 associated members","Not found","New York, NY","2010","Personal training certification, personal training school, Personal training education, Adult Education, Fitness, Higher Education, and Vocational Education","Location matched"
